review_id,product_id,customer_id,rating,review_date,review_text
1,51,54,5,2024-10-11,"Satisfied overall, plan to buy again."
2,53,1,5,2024-06-16,"Satisfied overall, plan to buy again."
3,54,76,3,2025-08-13,Customer support was very helpful.
4,35,62,4,2024-10-21,Instructions were unclear but figured it out.
5,49,70,4,2024-12-26,Color was slightly different than pictured.
6,56,25,5,2024-03-18,Great value and easy to use.
7,15,53,4,2023-02-12,Customer support was very helpful.
8,46,49,5,2025-01-13,Packaging could be better but works great.
9,32,5,5,2023-07-31,Sturdy build and looks premium.
10,22,13,3,2025-05-04,Instructions were unclear but figured it out.
11,59,59,5,2022-12-16,Packaging could be better but works great.
12,27,84,3,2023-09-27,Customer support was very helpful.
13,51,34,5,2024-10-08,Great value and easy to use.
14,42,11,5,2024-09-17,Instructions were unclear but figured it out.
15,25,41,5,2025-08-10,Exceeded expectations and arrived quickly.
16,40,9,5,2024-03-09,"Satisfied overall, plan to buy again."
17,15,12,3,2025-04-21,Quality is solid for the price.
18,29,22,3,2024-07-20,Exceeded expectations and arrived quickly.
19,21,8,4,2024-07-07,Color was slightly different than pictured.
20,28,19,5,2024-03-29,Great value and easy to use.
21,37,24,3,2023-10-29,Quality is solid for the price.
22,40,49,4,2024-03-22,Sturdy build and looks premium.
23,10,30,5,2025-06-16,"Satisfied overall, plan to buy again."
24,30,33,4,2022-12-04,"Satisfied overall, plan to buy again."
25,44,70,3,2023-10-04,Customer support was very helpful.
26,23,76,5,2024-07-19,Great value and easy to use.
27,45,33,4,2025-06-07,Would definitely recommend to friends.
28,25,62,3,2023-06-21,Great value and easy to use.
29,37,46,5,2024-07-12,"Satisfied overall, plan to buy again."
30,2,85,4,2025-02-02,Exceeded expectations and arrived quickly.
31,37,7,4,2025-08-28,Would definitely recommend to friends.
32,39,46,5,2024-02-06,Would definitely recommend to friends.
33,40,33,5,2023-08-22,Quality is solid for the price.
34,58,81,4,2023-02-03,Customer support was very helpful.
35,3,75,5,2024-12-01,Packaging could be better but works great.
36,6,38,5,2024-09-14,Great value and easy to use.
37,12,26,5,2023-08-12,Color was slightly different than pictured.
38,34,65,3,2024-05-26,"Satisfied overall, plan to buy again."
39,59,62,5,2024-07-11,Color was slightly different than pictured.
40,52,15,3,2025-07-01,Packaging could be better but works great.
41,49,29,5,2025-02-05,Color was slightly different than pictured.
42,6,51,4,2022-12-13,Instructions were unclear but figured it out.
43,8,59,5,2024-12-08,"Satisfied overall, plan to buy again."
44,38,49,3,2024-12-14,Would definitely recommend to friends.
45,31,4,5,2024-09-16,Would definitely recommend to friends.
46,42,9,5,2025-06-22,"Satisfied overall, plan to buy again."
47,42,53,3,2023-07-11,Exceeded expectations and arrived quickly.
48,3,39,3,2025-08-19,Quality is solid for the price.
49,16,69,4,2023-08-19,Customer support was very helpful.
50,24,70,5,2025-03-22,Packaging could be better but works great.
51,57,54,4,2023-06-05,Sturdy build and looks premium.
52,27,36,5,2023-01-21,Color was slightly different than pictured.
53,14,57,3,2025-05-13,Color was slightly different than pictured.
54,7,48,3,2024-11-18,Great value and easy to use.
55,18,25,4,2023-07-23,Quality is solid for the price.
56,43,28,3,2022-12-28,Color was slightly different than pictured.
57,16,17,3,2024-01-09,Instructions were unclear but figured it out.
58,14,76,3,2024-01-31,Color was slightly different than pictured.
59,50,19,4,2022-11-20,Packaging could be better but works great.
60,9,70,3,2024-04-11,Quality is solid for the price.
61,43,4,3,2023-08-11,Color was slightly different than pictured.
62,51,31,3,2024-09-08,Packaging could be better but works great.
63,17,7,5,2023-08-01,Great value and easy to use.
64,34,15,4,2023-03-25,Customer support was very helpful.
65,50,47,5,2025-10-01,Quality is solid for the price.
